Num,Title,Comment,Recommend,Link
161,雨人,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
162,花样年华,8.6,偷情本没有这样美。,https://movie.douban.com/subject/1291557/
163,我是山姆,8.9,爱并不需要智商 。,https://movie.douban.com/subject/1306861/
164,你的名字。,8.4,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/
165,卢旺达饭店,8.9,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
166,哪吒闹海,9.0,想你时你在闹海。,https://movie.douban.com/subject/1307315/
167,头脑特工队,8.7,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
168,海边的曼彻斯特,8.6,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
169,你看起来好像很好吃,8.8,感情不分食草或者食肉。,https://movie.douban.com/subject/4848115/
170,恋恋笔记本,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
171,无敌破坏王,8.7,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
172,二十二,8.7,有一些东西不应该被遗忘。,https://movie.douban.com/subject/26430107/
173,冰川时代,8.5,松鼠才是角儿。,https://movie.douban.com/subject/1291578/
174,虎口脱险,8.9,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
175,未麻的部屋,8.9,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/
176,模仿游戏,8.6,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/
177,爆裂鼓手,8.7,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
178,海洋,9.1,大海啊，不全是水。,https://movie.douban.com/subject/3443389/
179,雨中曲,9.0,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
180,一个叫欧维的男人决定去死,8.8,惠及一生的美丽。,https://movie.douban.com/subject/26628357/
181,忠犬八公物语,9.1,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/
182,天书奇谭,9.2,传奇的年代，醉人的童话。,https://movie.douban.com/subject/1428581/
183,燃情岁月,8.8,传奇，不是每个人都可以拥有。,https://movie.douban.com/subject/1295865/
184,人工智能,8.6,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/
185,头号玩家,8.7,写给影迷，动漫迷和游戏迷的一封情书。,https://movie.douban.com/subject/4920389/
186,魔女宅急便,8.6,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/
187,房间,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/
188,黑客帝国3：矩阵革命,8.7,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://movie.douban.com/subject/1302467/
189,穿越时空的少女,8.6,爱上未来的你。 ,https://movie.douban.com/subject/1937946/
190,海街日记,8.7,是枝裕和的家庭习作。,https://movie.douban.com/subject/25895901/
191,恐怖游轮,8.4,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
192,魂断蓝桥,8.8,中国式内在的美国电影。,https://movie.douban.com/subject/1293964/
193,功夫,8.4,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/
194,惊魂记,8.9,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/
195,罗生门,8.8,人生的N种可能性。,https://movie.douban.com/subject/1291879/
196,猜火车,8.5,不可猜的青春迷笛。 ,https://movie.douban.com/subject/1292528/
197,完美陌生人,8.5,来啊，互相伤害啊！,https://movie.douban.com/subject/26614893/
198,阿飞正传,8.5,王家卫是一种风格，张国荣是一个代表。,https://movie.douban.com/subject/1305690/
199,香水,8.5,一个单凭体香达到高潮的男人。,https://movie.douban.com/subject/1760622/
200,可可西里,8.7,坚硬的信仰。,https://movie.douban.com/subject/1308857/
201,牯岭街少年杀人事件,8.8,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/
202,谍影重重2,8.6,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/
203,疯狂的石头,8.4,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
204,朗读者,8.5,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://movie.douban.com/subject/2213597/
205,谍影重重,8.6,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://movie.douban.com/subject/1304102/
